interjection[key],positive,negative,sis,sentiment,replace-during-tokenize[flag]
mafeesh,0,0,0,0,1
magtig,0,0,0,0,1
mama mia,0,0,0,0,1
man overboard,0,0,0,0,1
marry come up,0,0,0,0,1
mavrone,0,0,0,0,1
mazal tov,1,0,0,0,1
mazel tov,1,0,0,0,1
mazeltov,1,0,0,0,1
meef,0,0,0,0,1
meh,0,0,0,0,1
mem.,0,0,0,0,1
mew,0,0,0,0,1
mhm,0,0,0,0,1
mind you,0,0,0,0,1
mirabile dictu,0,0,0,0,1
mmhm,0,0,0,0,1
mmhmm,0,0,0,0,1
mmkay,0,0,0,0,1
mmm,0,0,0,0,1
moo,0,0,0,0,1
mu,0,0,0,0,1
muahahaha,0,0,0,0,1
mum,0,0,0,0,1
mush,0,0,0,0,1
mwah,0,0,0,0,1
mwah ha ha,0,0,0,0,1
my,0,0,0,0,0
my bad,0,0,0,0,1
my god,0,0,0,0,1
my goodness,0,0,0,0,1
my my,0,0,0,0,1
my pleasure,1,0,0,0,1
my word,0,0,0,0,1
n.b.,0,0,0,0,1
na,0,0,0,0,1
nah,0,0,0,0,1
naipoo,0,0,0,0,1
namaste,0,0,0,0,1
napoo,0,0,0,0,1
nee,0,0,0,0,1
nee way,0,0,0,0,1
neener,0,0,0,0,1
nenikekamen,0,0,0,0,1
nenikikamen,0,0,0,0,1
ner,0,0,0,0,1
nerts,0,0,0,0,1
net-net,0,0,0,0,1
never say die,0,0,0,0,1
nice one,1,0,0,0,1
nil desperandum,0,0,0,0,1
no can do,0,1,0,0,1
no duh,0,1,0,0,1
no kidding,0,0,0,0,1
no prob,1,0,0,0,1
no thank you,0,1,0,0,1
no way,0,1,0,0,1
nolo episcopari,0,0,0,0,1
nom,0,0,0,0,1
nom nom nom,0,0,0,0,1
nosuh,0,0,0,0,1
not to put too fine a point on it,0,0,0,0,1
nota bene,0,0,0,0,1
notate bene,0,0,0,0,1
now that's what I'm talking about,1,0,0,0,1
"now, now",0,0,1,0,1
nu,0,0,0,0,1
nuh-uh,0,0,0,0,1
nuts,0,0,0,0,1
nyuk,0,0,0,0,1
obscurans obscurantis,0,0,0,0,1
ods bodikin,0,0,0,0,1
oggy oggy oggy,0,0,0,0,1
oh,0,0,0,0,1
oh boy,0,1,0,0,1
oh dear,0,1,0,0,1
oh god,0,1,0,0,1
oh man,0,1,0,0,1
oh my,0,1,0,0,1
oh my god,0,1,0,0,1
oh my heck,0,1,0,0,1
oh no,0,1,0,0,1
"oh, well",0,0,0,0,1
ohmigod,1,0,0,0,1
ohmmm,0,0,0,0,1
oho,0,0,0,0,1
oh-oh,0,0,0,0,1
oi,0,0,0,0,1
oink,0,0,0,0,1
okey dokey,1,0,0,0,1
okey-doke,1,0,0,0,1
okey-dokey,1,0,0,0,1
ole,0,0,0,0,1
olé,0,0,0,0,1
omigod,1,0,0,0,1
omigosh,1,0,0,0,1
on your bike,0,0,0,0,1
"on your horse, amigo",0,0,0,0,1
on your marks,0,0,0,0,1
one and one's,0,0,0,0,1
oof,0,0,0,0,1
oofta,0,0,0,0,1
ooh,0,0,0,0,1
oojie-boojie,0,0,0,0,1
ook,0,0,0,0,1
oontz,0,0,0,0,1
oooh,0,0,0,0,1
ooooh,0,0,0,0,1
oops,0,1,1,0,1
oopsie,0,0,0,0,1
oopsy,0,0,0,0,1
oorah,0,0,0,0,1
open sesame,0,0,0,0,1
ouch,0,1,0,0,1
ow,0,0,0,0,1
oy,0,0,0,0,1
oy gevalt,0,0,0,0,1
oy vey,0,0,0,0,1
oyez,0,0,0,0,1
pad,0,0,0,0,1
pah,0,0,0,0,1
pan-pan,0,0,0,0,1
pardon,0,0,0,0,1
peace out,0,0,0,0,1
perish the thought,0,0,0,0,1
pew,0,0,0,0,0
pfaugh,0,0,0,0,1
pff,0,0,0,0,1
pfft,0,0,0,0,1
pfui,0,0,0,0,1
phew,0,0,0,1,1
phfft,0,0,0,0,1
phooey,0,0,0,0,1
phwoar,0,0,0,0,1
pip-pip,0,0,0,0,1
pish,0,0,0,0,1
pistols at dawn,0,0,0,0,1
pity,0,0,0,0,1
please,0,0,0,0,0
plonk,0,0,0,0,1
poof,0,0,0,0,1
pooh,0,0,0,0,1
pop,0,0,0,0,1
pouf,0,0,0,0,1
pow,0,0,0,0,1
pray tell,0,0,0,0,1
presto,0,0,0,0,1
presto change-o,0,0,0,0,1
presto chango,0,0,0,0,1
pretty please,0,0,0,0,1
prithee,0,0,0,0,1
pshaw,0,0,0,0,1
psshaw,0,0,0,0,1
pssst,0,0,0,0,1
psst,0,0,0,0,1
qapla',0,0,0,0,1
quoi ci quoi ça,0,0,0,0,1
quotha,0,0,0,0,1
rah,0,0,0,0,1
rats,0,0,0,0,1
rat-tat-tat,0,0,0,0,1
rawr,0,0,0,0,1
"ready, aim, fire!",0,0,0,0,1
"ready, steady, go",0,0,0,0,1
red alert,0,0,0,0,1
rest his soul,0,0,0,0,1
ribbit,0,0,0,0,1
right on,1,0,0,0,1
right-ho,0,0,0,0,1
righto,0,0,0,0,1
right-oh,0,0,0,0,1
righty,0,0,0,0,1
righty-ho,0,0,0,0,1
rock on,1,0,0,0,1
roflcopter,0,0,0,0,1
roll up,0,0,0,0,1
rowrbazzle,0,0,0,0,1
rrr,0,0,0,0,1
rubbish,0,1,0,0,1
saieeda,0,0,0,0,1
salaam,0,0,0,0,1
salam,0,0,0,0,1
sankyu,1,0,0,0,1
sankyuu,1,0,0,0,1
say wha,0,0,0,0,1
say what,0,0,0,0,1
sayonara,0,0,0,0,1
'sblood,0,0,0,0,1
'scuse,0,0,0,0,1
see ya,0,0,0,0,1
see you soon,0,0,0,0,1
selah,0,0,0,0,1
'sfoot,0,0,0,0,1
sh,0,0,0,0,1
shaddap,0,0,0,0,1
shame on you,0,1,0,0,1
shana tova,0,0,0,0,1
shazaam,0,0,0,0,1
shazam,0,0,0,0,1
shazbot,0,0,0,0,1
sheesh,0,1,0,0,1
shh,0,0,0,0,1
shhh,0,0,0,0,1
shiver my timbers,0,0,0,0,1
shoo,0,0,0,0,1
shoop,0,0,0,0,1
siam,0,0,0,0,1
sieg heil,0,0,0,0,1
sis boom bah,0,0,0,0,1
sithee,0,0,0,0,1
skoal,0,0,0,0,1
smeg,0,0,0,0,1
snap,0,0,0,0,1
so be it,0,0,0,0,1
so long,0,0,0,0,1
so what,0,0,0,0,1
sod,0,0,0,0,1
sooey,0,0,0,0,1
squee,0,0,0,0,1
squush,0,0,0,0,1
srsly,0,0,0,0,1
sry,0,0,0,0,1
stap my vitals,0,0,0,0,1
stone me,0,0,0,0,1
